exitPagePath,exitRate,avgSessionDuration,exits
/courses/professional-software-development/curriculum/,28.04157807701394,200.36731255265374,1187
/courses/professional-software-development/cost-and-funding/,28.039329091960667,196.73597359735973,2424
/admissions-track/,51.72890733056709,147.18092691622104,1122
/events/info-taster-session-events/,39.59367945823928,144.26149752945648,2631
/about-us/our-team/,35.468319559228654,143.5126213592233,1030
/courses/professional-software-development/,33.274486265094275,142.10589983022072,4712
/courses/,36.96458253420279,113.20131442407471,2891
/courses/full-stack-web-development/,36.39344262295082,111.27348777348777,1554
/courses/ux-design-fundamentals/,41.32534132534133,101.12892828364222,1241
/,48.76520285953022,87.46853879105188,10505
/pre-course-work/,81.16809116809117,79.5012285012285,2849
/data-analysis-announcement/,53.57451045469631,60.646883905340104,8071
/blog/7-celebrities-didnt-know-code/,90.0172117039587,24.883365200764818,1046
/blog/best-podcasts-coders-programmers/,93.6963696369637,23.72032405776682,2839
